,aa,lr,svm,knn,rf,text,gold,bert
100459,Evia,Λέσβος,Λέσβος,Λέσβος,Κύπρος,"Τι με μέλλει εμένα, για του Χατζιαλή τ' άρνια;",Θεσπρωτία,Θεσπρωτία
109640,Evia,Θράκη,Εύβοια,Ανατολική Θράκη,Ήπειρος,Ένα χρόνο κ' ένα μήνα έκαμ' ένα αδράχτι νήμα,Ανατολική Θράκη,Εύβοια
71246,Ioannina,Λέσβος,Λέσβος,Λέσβος,Λέσβος,Τι' κάν'ς Γιώργον; -Σκαντοχερία κάνου,Αιτωλία,Ιωάννινα
99588,Pontos,Πόντος,Πόντος,Κύπρος,Σκύρος,Άθρωπον το μαθάν' τσετίνεα απομαθάν',Πόντος,Πόντος
76332,Rodos,Ρόδος,Ρόδος,Ρόδος,Σκύρος,Τίσε μέλει που το πατσανά το χαψί γη λίον είναι γη πολύ;,Κάρπαθος,Κρήτη
21925,Epirus,Αμοργός,Αμοργός,Θράκη,Αμοργός,Εμπρός από τον διάβολον τρείς μέρες γεννημένος,Αμοργός,Αμοργός
52380,East Thrace,Μικρά Ασία,Ανατολική Θράκη,Λέσβος,Κρήτη,"Το κατσίκι έχει τη νουρά ψηλά και όταν πνιγή, τελευταία θα πνιγή η νουά του",Αχαΐα,Λακωνία
24786,Naxos,Αμοργός,Αμοργός,Αμοργός,Αμοργός,Όνειρον είδες που δεν ξεδιαλύνει,Αμοργός,Αμοργός
20448,Naxos,Αμοργός,Αμοργός,Αμοργός,Ιωάννινα,Ανάθεμα που πίστευγε στων αδερφιών τ' αμάχι,Αμοργός,Κεφαλληνία
71049,Rodos,Ιωάννινα,Ρόδος,Ήπειρος,Αιτωλία,Στου κασσιδιάρ' του κεφάλ' ούλοι μπαρμπέρ' δες βγαίνουν,Λακωνία,Ιωάννινα
38690,Achaia,Ανατολική Θράκη,Ανατολική Θράκη,Ανατολική Θράκη,Ανατολική Θράκη,"Εχάσαμε τα μάτια, θα φυλάξουμε τ΄ αφρύδια;",Αρκαδία,Ανατολική Θράκη
