,text,place,uri,collector,area,lat,lon,adimakis
105697,Γέλια σαν κομπολόγια,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/168435,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671, Γέλια σαν κουμπολόγια
8413,Καρδίαν καθαράν θέλ' ο Θεός,Ήπειρος,http://hdl.handle.net/20.500.11853/167032,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671, Κάρδιαν καθαράν θέλει ο Θεός
7684,Ου Θεός κι ου γείτονας,Ήπειρος,http://hdl.handle.net/20.500.11853/168991,"Γαλδέμης, Αναστάσιος Δ.",Ήπειρος,37.9982534,23.7378671, Ούτε Θεός ούτε γείτονάς
18546,Θέλει να κρυφθή πίσω από το δάχτυλό του,Ήπειρος,http://hdl.handle.net/20.500.11853/273352,"Ζηκίδης, Γεώργιος Δ.",Ήπειρος,37.9982534,23.7378671, Θέλει να κρυφτεί πίσω από το δάκτυλό του
94001,Όλοι κλαίν' τα χάλια τ'ς κι ο μυλωνάς τη δέσι,Ήπειρος,http://hdl.handle.net/20.500.11853/204755,"Παπαγεωργίου, Ιωάννης",Ήπειρος,37.9982534,23.7378671, Όλοι κλαίν' τα χάλια της κι ο μυλωνάς τη δέση
106056,Σε ξένο φαγεί να μη βάνης άλας,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/204263,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671, Σε ξένο φαγητό να μην βάνεις άλατο
94075,Μου το βγαλε απ' τις μύτες,Ήπειρος,http://hdl.handle.net/20.500.11853/284327,"Παπαγεωργίου, Σωτηρ. Π.",Ήπειρος,37.9982534,23.7378671, Μου το βγάλει από τις μύτες
44818,Γίγκι για κουρκούτ',"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/271938,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671, Γίγκι για κουρκούτι
8319,Ειναι στα ολίστια,Ήπειρος,http://hdl.handle.net/20.500.11853/289049,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671, Είναι στα ολίστικα
1360,Όξ' απού θάνατου!,"Ήπειρος, Ζαγόρι",http://hdl.handle.net/20.500.11853/186423,"Αναγνωστόπουλος, Γιώργος Π.",Ήπειρος,37.9982534,23.7378671, Όχι από το θάνατο!
4603,Τον ζουρλόν 'ς του χωριάτη ξένοι πόνοι τον γεράζουν,Ήπειρος,http://hdl.handle.net/20.500.11853/204823,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671, Τον ζουρλό στο χωριάτη ξένοι πόνοι τον γεράζουν
