text,place,place_num,area,area_num,latlon
(Ε)πήρε βάγια,"{'Λακωνία', 'Ήπειρος'}",2,"{'Λακωνία', 'Ήπειρος'}",2,"[(36.76027945, 22.79046431389755), (39.6501917, 20.690845557013784)]"
"Άβολος ο νους, διπλός ο κόπος","{'Μικρά Ασία>Τσεσμές (Κρήνη)', 'Νίσυρος'}",2,"{'Μικρά Ασία', 'Νίσυρος'}",2,"[(38.1846366, 23.5122768), (36.58904575, 27.169184022557516)]"
Άβουλος νους διπλός κόπος,"{'Θράκη>Αίνος', 'Θήρα (Σαντορίνη)'}",2,"{'Θήρα (Σαντορίνη)', 'Θράκη'}",2,"[(36.4071112, 25.456663652707153), (38.0105134, 23.7327576)]"
"Άβουλος νους, διπλός ο κόπος","{'Κρήτη', 'Αμοργός', 'Ρόδος'}",3,"{'Κρήτη', 'Αμοργός', 'Ρόδος'}",3,"[(35.308495199999996, 24.46334231842296), (36.85252415, 25.898486967715655), (36.172529749999995, 27.91940163839584)]"
Άβουλος ο νους διπλός ο κόπος,"{'Θράκη', 'Θράκη>Μάδυτος', 'Ήπειρος>Τσαμαντάς', 'Σάμος>Μαραθόκαμπος', 'Ρόδος'}",5,"{'Ρόδος', 'Σάμος', 'Ήπειρος', 'Θράκη'}",4,"[(36.172529749999995, 27.91940163839584), (37.72461615, 26.81929189110984), (39.6501917, 20.690845557013784), (38.0105134, 23.7327576)]"
"Άβουλος ο νους, διπλός ο κόπος","{'Ήπειρος', 'Άνδρος', 'Θεσπρωτία>Παραμυθιά', 'Επτάνησος'}",4,"{'Θεσπρωτία', 'Άνδρος', 'Ήπειρος', 'Επτάνησος'}",4,"[(39.54401235, 20.308355368968883), (37.8408347, 24.86238235981581), (39.6501917, 20.690845557013784), (38.8351105, 20.7094392)]"
Άγιασε ο μαχαιροβγάλτης και πουλεί σκουρολεπίδες,"{'Κεφαλληνία', 'Ήπειρος'}",2,"{'Κεφαλληνία', 'Ήπειρος'}",2,"[(38.2660322, 20.53739027630735), (39.6501917, 20.690845557013784)]"
Άγνεστα κι' ανύφαντα στην τέμπλα κρεμασμένα,"{'Αρκαδία>Γορτυνία', 'Θεσσαλία'}",2,"{'Θεσσαλία', 'Αρκαδία'}",2,"[(39.5564697, 21.6905283), (37.42908855, 22.423541964571157)]"
Άδειασέ μας τη γωνιά,"{'Κεφαλληνία', 'Κρήτη>Σητεία'}",2,"{'Κρήτη', 'Κεφαλληνία'}",2,"[(35.308495199999996, 24.46334231842296), (38.2660322, 20.53739027630735)]"
Άδειασέ μου τη γωνιά,"{'Αδριανούπολη', 'Αρκαδία>Γορτυνία', 'Άνδρος'}",3,"{'Αδριανούπολη', 'Άνδρος', 'Αρκαδία'}",3,"[(41.7111279, 26.3579609), (37.8408347, 24.86238235981581), (37.42908855, 22.423541964571157)]"
Άδηλα και κρύφια,"{'Λακωνία', 'Κρήτη', 'Αμοργός', 'Ήπειρος'}",4,"{'Λακωνία', 'Κρήτη', 'Αμοργός', 'Ήπειρος'}",4,"[(36.76027945, 22.79046431389755), (35.308495199999996, 24.46334231842296), (36.85252415, 25.898486967715655), (39.6501917, 20.690845557013784)]"
Άδηλα κι κρύφια,"{'Ιωάννινα>Νεγάδες', 'Επτάνησος'}",2,"{'Ιωάννινα', 'Επτάνησος'}",2,"[(39.6639818, 20.8522784), (38.8351105, 20.7094392)]"
Άδουλος δουλειά δεν έχει το βρακί του λεί και δενει,"{'Κεφαλληνία', 'Λακωνία>Σπάρτη', 'Αρκαδία>Δημητσάνα'}",3,"{'Λακωνία', 'Κεφαλληνία', 'Αρκαδία'}",3,"[(36.76027945, 22.79046431389755), (38.2660322, 20.53739027630735), (37.42908855, 22.423541964571157)]"
Άζωστος τρέχει ο γείτονας κι ο συγγενής ζωσμένος,"{'Θράκη>Σουφλί', 'Κρήτη>Ιεράπετρα>Βαϊνιά'}",2,"{'Κρήτη', 'Θράκη'}",2,"[(35.308495199999996, 24.46334231842296), (38.0105134, 23.7327576)]"
Άθρωπος αγράμματος ξύλο απελέκητο,"{'Λέρος', 'Κρήτη>Ρέθυμνο>Μαλλάκι', 'Θράκη>Σαράντα Εκκλησίες'}",3,"{'Λέρος', 'Κρήτη', 'Θράκη'}",3,"[(37.9933789, 23.5389128), (35.308495199999996, 24.46334231842296), (38.0105134, 23.7327576)]"
Άθρωπος αθρώπου μοιάζει,"{'Σκύρος', 'Ρόδος'}",2,"{'Σκύρος', 'Ρόδος'}",2,"[(38.87304355, 24.524477385184017), (36.172529749999995, 27.91940163839584)]"
"Άκληρος, άθεος","{'Μεσσηνία>Πύλος>Κορώνη', 'Αργολίδα>Σχοινοχώρι', 'Αχαΐα>Πάτρα'}",3,"{'Μεσσηνία', 'Αργολίδα', 'Αχαΐα'}",3,"[(36.70694815, 22.122363134012744), (37.56626615, 22.85593894780862), (38.0692748, 21.87273042232539)]"
Άκουροι και κουρεμμένοι ήταν όλοι μαζωμένοι,"{'Λακωνία', 'Θεσσαλία'}",2,"{'Λακωνία', 'Θεσσαλία'}",2,"[(36.76027945, 22.79046431389755), (39.5564697, 21.6905283)]"
Άκρες λείπες,"{'Κορινθία>Καρυά', 'Αρκαδία>Γορτυνία>Λάστα', 'Αρκαδία>Δημητσάνα'}",3,"{'Κορινθία', 'Αρκαδία'}",2,"[(37.96299085, 22.733342367236247), (37.42908855, 22.423541964571157)]"
